netuid,name,reason,top1_usd_month,miners_scoring
1,Apex,active_miners=3<5,,
3,deprecated,active_miners=1<5,,
7,Allways,active_miners=1<5,,
9,iota,active_miners=2<5,,
10,Swap,active_miners=1<5,,
11,TrajectoryRL,active_miners=2<5,,
15,ORO,active_miners=2<5,,
16,BitAds,active_miners=1<5,,
19,blockmachine,active_miners=1<5,,
20,GroundLayer,active_miners=1<5,,
21,AdTAO,active_miners=1<5,,
23,Trishool,active_miners=1<5,,
24,Quasar,active_miners=1<5,,
25,Mainframe,active_miners=1<5,,
26,Kinitro,active_miners=1<5,,
27,Nodexo,active_miners=1<5,,
28,oracle,active_miners=1<5,,
29,Coldint,active_miners=1<5,,
30,Pending,active_miners=1<5,,
31,Halftime,active_miners=1<5,,
35,Cartha,active_miners=3<5,,
36,automata,active_miners=1<5,,
37,Aurelius,active_miners=1<5,,
38,colosseum,active_miners=1<5,,
39,deprecated,active_miners=1<5,,
40,Chunking,active_miners=1<5,,
42,Unknown,active_miners=1<5,,
43,Graphite,active_miners=1<5,,
46,RESI,active_miners=1<5,,
47,EvolAI,active_miners=1<5,,
49,Nepher Robotics,active_miners=2<5,,
52,Dojo,active_miners=1<5,,
53,EfficientFrontier,active_miners=1<5,,
55,NIOME,active_miners=1<5,,
58,Handshake,active_miners=1<5,,
60,Bitsec.ai,active_miners=1<5,,
62,Ridges,active_miners=1<5,,
63,Enigma,active_miners=1<5,,
66,Tau coding agent,active_miners=1<5,,
67,Harnyx,active_miners=2<5,,
68,NOVA,active_miners=3<5,,
69,ain,active_miners=1<5,,
70,NexisGen,active_miners=1<5,,
76,Byzantium,active_miners=1<5,,
81,deprecated,active_miners=1<5,,
84,ChipForge (Tatsu),active_miners=2<5,,
86,⚒,active_miners=1<5,,
87,Luminar Network,active_miners=1<5,,
89,InfiniteHash,active_miners=3<5,,
90,ogham,active_miners=1<5,,
91,Bitstarter #1,active_miners=1<5,,
92,TensorClaw,active_miners=1<5,,
94,Bitsota,active_miners=2<5,,
95,nion,active_miners=1<5,,
96,Verathos,zero_emission,,
97,distil,active_miners=1<5,,
98,ForeverMoney,active_miners=1<5,,
99,Leoma,active_miners=1<5,,
100,Plaτform,active_miners=1<5,,
101,eni,active_miners=1<5,,
102,ConnitoAI,active_miners=1<5,,
104,for sale (burn to uid1),active_miners=1<5,,
106,VoidAI,active_miners=1<5,,
107,Minos,active_miners=1<5,,
108,TalkHead,active_miners=1<5,,
109,Academia,active_miners=1<5,,
110,Rich Kids of TAO,active_miners=1<5,,
112,minotaur,active_miners=1<5,,
113,TensorUSD,active_miners=1<5,,
115,HashiChain,active_miners=1<5,,
116,TaoLend,active_miners=4<5,,
117,BrainPlay,active_miners=3<5,,
119,Satori,active_miners=1<5,,
121,sundae_bar,active_miners=1<5,,
122,Bitrecs,active_miners=1<5,,
124,Swarm,active_miners=2<5,,
125,8 Ball,active_miners=1<5,,
127,Astrid,active_miners=1<5,,
14,TAOHash,miners=4<5,337652.0,4
44,Score,miners=4<5,747903.0,4
48,Quantum Compute,miners=2<5,181269.0,2
80,dogelayer,miners=4<5,91710.0,4
