netuid,name,symbol,emission_tao_day,net_flow_7d,reg_cost_tao,market_cap_tao,price_tao,tau_in,alpha_in,alpha_out,total_alpha,subnet_volume,immunity_period,tempo,is_dynamic,moving_price,owner_hk,github
64,Chutes,ش,451.74,,0.0005,411926.12,0.082896529,211988.8941,2558110.6795,2411049.3351,4969160.0146,4301983.6739,5000,360,True,0.08276037,5F4Q3cA8EvApwhBj4eLjbb1meiLtzKgWhkF5JLRMNhRfqULc,https://github.com/chutesai/chutes
120,Affine,ⴷ,407.1912,,0.176271,235516.64,0.077948702,89715.7697,1145021.7989,1876409.4407,3021431.2397,887590.95,5000,360,True,0.079318605,5Fn7rj78bfSrNcFQCHShC7aoVSneGLbiPD7xFHu3zhwFrQhs,https://github.com/AffineFoundation/affine
4,Targon,δ,293.178,,0.0005,265151.91,0.053833345,125202.8191,2325819.8729,2599601.5979,4925421.4707,1828136.5595,7520,360,True,0.053676053,5Hp18g9P8hLGKp9W3ZDr4bvJwba6b6bY3P2u3VdYf8yMR8FM,https://github.com/manifold-inc/targon
51,lium.io,ת,267.4115,,0.005,236346.72,0.049189436,105944.1669,2154263.9044,2650562.8182,4804826.7226,1472921.3311,5000,360,True,0.047918285,5FTVrwEpjvpNeKwczFtYjs62GHKKLHLCdqCThtj2unZouKg1,https://github.com/Datura-ai/lium-io
97,distil,ა,213.2244,,1.632353,13667.05,0.060155525,1336.4039,22182.337,205012.8615,227195.1986,42322.6788,5000,360,True,0.047510742,5EvHrbHz8rT8DrWazxFhzfMsmscFtPE3qhRDeY4ggKZrBcxZ,https://github.com/unarbos/distil
3,deprecated,γ,184.1816,,0.0005,163673.94,0.033865258,84087.8443,2484895.898,2348197.0762,4833092.9742,2712937.9445,10000,360,True,0.034300202,5HdTZQ6UXD7MWcRsMeExVwqAKKo4UwomUd662HvtXiZXkxmv,https://github.com/username/repo
62,Ridges,ز,180.4637,,0.0005,153134.03,0.033303304,51681.1257,1559786.335,3038376.9915,4598163.3265,3969279.7651,7400,360,True,0.031888708,5EsNzkZ3DwDqCsYmSJDeGXX51dQJd5broUCH6dbDjvkTcicD,https://github.com/ridgesai/ridges
8,Vanta,θ,177.5779,,0.0005,157657.88,0.032653414,83496.9511,2557211.9222,2271008.5137,4828220.4359,1222716.1696,1200,360,True,0.03265251,5F6tnxzAAxbhaWRmeUmB63JEM3VXBNSmqb3AwYJVDStQjw8y,https://github.com/taoshidev/vanta-network
44,Score,ף,173.549,,0.0005,150905.75,0.031964782,52697.3224,1647393.797,3073606.7492,4721000.5462,1507889.6647,7500,360,True,0.030569382,5FsREvyUXSZWYRqVyQLDdpYmZZPnkhZyW6HjooozKP1nQkwu,https://github.com/score-technologies/score-vision
56,Gradients,ج,140.6056,,0.0005,123883.87,0.025870254,63019.9471,2438688.2341,2349972.5929,4788660.827,2752747.9971,5000,360,True,0.025811642,5GU4Xkd3dCGTU3s8VLcHGc5wsD5M8XyxDca5yDQhYm1mVXFu,https://github.com/gradients-ai/G.O.D
75,Hippius,م,128.1597,,0.002322,104438.66,0.023730129,37926.9566,1595455.5322,2805643.9849,4401099.5171,1178257.0737,5000,360,True,0.023569764,5G1Qj93Fy22grpiGKq6BEvqqmS2HVRs3jaEdMhq9absQzs6g,https://github.com/thenervelab/thebrain
9,iota,ι,121.37,,0.0005,109458.22,0.022290764,47504.6389,2131306.3113,2779167.9859,4910474.2971,681457.2762,5000,360,True,0.022342888,5FsbubeciqtB5Nik3umL2iD4fG8FcC9GbT9nHJfXMj4mJJZ9,https://github.com/macrocosm-os/iota
93,Bitcast,ᚃ,101.6017,,0.005,73765.55,0.01900497,22136.0219,1163004.6556,2718377.5569,3881382.2125,758788.1277,50400,360,True,0.018949508,5DAoDtMxVqtMu2Nd5E7QhPEGXDMgrySvE1b3rRT5ARDhfNNK,https://github.com/bitcast-network/bitcast
95,nion,ᚅ,97.0923,,0.0005,45588.39,0.019060442,12845.971,673225.9063,1718554.6198,2391780.5261,165332.8041,5000,360,True,0.018586318,5ExqqyEBXLpGwqy6sSVrauozhcyAKBaMz1y5x9wAYSk7n7HP,
5,Hone,ε,91.4193,,0.0005,78907.89,0.016847719,35284.9289,2094419.7494,2589174.9093,4683594.6587,811068.4872,5000,360,True,0.016397844,5GZ2KuT2TtLbYTtsMcgAtazo6KQ4bc57ykZgyQv9oit3y7iq,https://github.com/manifold-inc/hone
17,404—GEN,ρ,84.3145,,0.0005,73750.14,0.015521972,31311.3567,2017563.6002,2733774.495,4751338.0952,542571.6802,5000,360,True,0.015499982,5E7eSeRr2aHzCV7SkY4a2Pi5NXHrU4anZz3phEQgn4HCen2B,https://github.com/404-Repo/404-gen-subnet
19,blockmachine,t,79.4272,,0.0005,69940.12,0.014614606,38067.5273,2605244.452,2180387.3501,4785631.802,1543222.4617,7000,360,True,0.014728586,5CK49hDJcseEk1V7iB1dmmztdw4igafhxLsVN82VtUVAQRfC,https://github.com/taostat/blockmachine/
34,BitMind,י,77.7603,,0.18702,65586.55,0.014357154,37107.6149,2584437.1384,1983776.5741,4568213.7124,589169.6573,5000,360,True,0.014405894,5HjBSeeoz52CLfvDWDkzupqrYLHz1oToDPHjdmJjc4TF68LQ,https://github.com/BitMind-AI/bitmind-subnet
